,molecule_chembl_id,IC50,units,smiles,pIC50
1996,CHEMBL3948373,104.0,nM,Nc1ncnc2c1c(-c1cc(F)c3c(c1)NCCO3)nn2C1Cc2ccccc2C1,6.982966660701219
1997,CHEMBL4170077,105.0,nM,C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(/C=C/c5ccccc5)cc4c32)ccc1C,6.978810700930062
1998,CHEMBL4552410,105.0,nM,CN1CCN(c2ccc(Nc3nc(-c4cccc(NC(=O)[C@H]5CC[C@H](C)CC5)c4)sc3C(N)=O)cc2)CC1,6.978810700930062
1999,CHEMBL4245357,106.0,nM,COc1ccc(-c2ccc3oc4ccc(=O)n(-c5ccc(NC(=O)CN6CCCCC6)cc5)c4c3c2)cn1,6.97469413473523
2000,CHEMBL4755174,106.0,nM,Cc1cccnc1NC(=O)c1ccc(-c2nc([C@@H]3CCCN(C(=O)C4(C)COC4)C3)n3ccnc(N)c23)c(F)c1,6.97469413473523
2001,CHEMBL3605102,107.4,nM,Cn1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,6.968995718636464
2002,CHEMBL3934587,109.0,nM,CC(C)(C)OC(=O)NC1CCCC(C(=O)O)C1,6.962573502059376
2003,CHEMBL3263653,109.0,nM,Cc1c(NC(=O)C(C)(C)C)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nc[nH]c2n1,6.962573502059376
2004,CHEMBL3939699,110.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2cc(-c3cccc(N)c3)[nH]c12,6.958607314841775
2005,CHEMBL3972467,110.0,nM,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cc(F)cc1-c1ncnc2[nH]c(C3=CCC4(CC3)OCCO4)cc12,6.958607314841775
